Month,DayOfWeek,DepHour,IsWeekend,Distance,IsDelayed,Airline_Encoded,Origin_Encoded
5,1,16,0,680.0,0,7,7
7,7,16,1,325.0,1,3,23
7,1,10,0,587.0,0,18,23
7,5,13,1,1739.0,1,3,23
7,5,21,1,272.0,0,18,2
7,7,20,1,594.0,1,10,0
7,1,7,0,127.0,0,6,23
4,2,6,0,91.0,0,5,23
7,2,7,0,574.0,0,17,23
2,1,8,0,236.0,0,19,16
2,1,9,0,1727.0,0,3,29
2,7,18,1,931.0,0,7,21
5,3,15,0,198.0,0,8,17
7,1,9,0,1216.0,1,18,23
4,6,9,1,2125.0,0,3,16
2,6,13,1,612.0,0,14,23
4,7,18,1,834.0,0,19,23
4,3,18,0,983.0,0,19,9
2,6,13,1,575.0,0,17,23
7,5,14,1,352.0,0,7,23
2,4,14,0,811.0,0,20,30
4,1,10,0,288.0,0,15,23
2,3,9,0,447.0,0,17,28
5,2,13,0,1727.0,0,3,29
2,5,17,1,770.0,1,20,7
4,7,9,1,174.0,1,9,22
7,3,6,0,1313.0,0,3,23
4,7,13,1,950.0,0,7,17
4,6,13,1,212.0,0,17,23
5,4,7,0,224.0,0,20,13
5,2,13,0,1086.0,1,7,29
4,2,9,0,2338.0,0,20,23
2,4,18,0,163.0,0,18,23
2,4,16,0,1050.0,0,1,27
2,2,14,0,441.0,0,16,23
2,5,15,1,521.0,0,17,29
7,5,22,1,306.0,0,7,0
5,7,10,1,308.0,0,17,23
4,1,9,0,228.0,0,17,21
7,6,11,1,216.0,0,12,23
7,6,6,1,402.0,0,9,23
2,1,12,0,1635.0,0,20,13
7,4,14,0,969.0,1,16,6
4,2,15,0,187.0,0,18,23
2,6,13,1,435.0,1,17,21
5,1,12,0,1619.0,0,2,16
5,5,7,1,332.0,0,18,23
2,5,20,1,1521.0,0,14,14
5,3,10,0,1448.0,0,1,23
5,7,17,1,358.0,0,17,29
7,1,12,0,1430.0,0,3,1
2,3,22,0,1916.0,0,3,15
2,1,15,0,1044.0,0,18,23
5,2,17,0,237.0,0,18,23
2,6,6,1,440.0,1,7,23
2,6,8,1,522.0,0,17,23
2,7,19,1,689.0,0,17,27
7,2,6,0,473.0,0,3,23
5,3,13,0,2556.0,0,3,23
2,6,7,1,1149.0,0,7,1
4,1,14,0,733.0,1,3,17
5,4,20,0,113.0,0,17,7
4,3,14,0,850.0,1,18,23
2,2,12,0,916.0,0,18,23
7,7,6,1,1846.0,0,20,28
7,7,14,1,1195.0,0,7,29
7,7,12,1,523.0,0,18,19
7,5,6,1,1620.0,0,20,17
5,5,14,1,1448.0,0,1,23
5,3,13,0,1085.0,0,3,20
7,7,19,1,482.0,0,17,23
2,6,11,1,616.0,0,17,7
4,5,20,1,343.0,1,4,3
7,3,19,0,630.0,1,20,23
7,2,7,0,500.0,0,3,9
4,2,6,0,1235.0,0,19,16
5,3,10,0,408.0,0,5,23
2,5,18,1,279.0,0,13,23
5,6,8,1,2335.0,1,1,27
7,7,12,1,288.0,0,20,12
7,6,14,1,488.0,1,18,23
5,1,20,0,1916.0,1,3,5
7,2,8,0,736.0,0,3,23
4,5,17,1,222.0,0,13,23
2,5,6,1,397.0,0,0,23
5,2,19,0,1065.0,1,20,10
4,5,9,1,75.0,1,5,5
7,5,19,1,2105.0,0,14,3
2,4,18,0,577.0,0,19,4
2,3,20,0,463.0,0,16,10
7,2,7,0,129.0,0,1,23
7,1,20,0,2434.0,1,20,10
5,6,8,1,569.0,0,3,8
7,6,18,1,349.0,0,20,23
7,5,20,1,909.0,0,1,23
2,2,7,0,1620.0,0,20,17
5,2,6,0,174.0,0,17,23
2,2,11,0,985.0,0,19,8
2,5,13,1,237.0,1,5,24
7,5,5,1,1222.0,0,9,23
2,7,18,1,900.0,0,0,22
5,4,16,0,1005.0,1,10,22
5,4,12,0,250.0,0,7,23
4,3,12,0,1488.0,0,3,25
4,3,17,0,284.0,1,16,23
7,6,14,1,812.0,1,3,8
7,6,11,1,208.0,1,8,0
2,5,12,1,562.0,0,18,23
2,2,15,0,994.0,0,3,1
2,5,10,1,746.0,0,10,0
4,5,17,1,196.0,0,17,23
7,7,21,1,503.0,1,8,0
7,6,8,1,224.0,0,3,13
5,3,15,0,198.0,0,8,17
7,5,11,1,633.0,0,8,0
4,6,8,1,937.0,0,19,10
5,2,21,0,2174.0,0,3,20
4,5,11,1,350.0,0,8,0
4,1,7,0,1754.0,0,20,3
4,1,10,0,762.0,0,7,0
2,6,8,1,599.0,0,3,22
7,3,8,0,228.0,0,13,27
5,3,7,0,1299.0,0,7,21
2,7,6,1,247.0,0,3,23
7,3,6,0,607.0,0,16,23
2,2,20,0,651.0,0,5,5
7,6,6,1,436.0,1,18,23
4,1,14,0,151.0,0,7,23
4,7,13,1,429.0,0,6,23
2,3,11,0,1846.0,0,20,22
4,7,17,1,405.0,1,18,23
5,6,20,1,391.0,0,17,23
2,5,14,1,440.0,0,17,23
4,3,16,0,323.0,0,16,6
7,4,19,0,500.0,1,15,23
7,1,5,0,282.0,0,5,23
2,3,19,0,692.0,0,18,0
2,6,20,1,731.0,0,3,8
7,3,18,0,762.0,0,7,0
2,1,10,0,1440.0,1,3,22
4,4,14,0,2422.0,1,1,27
2,3,10,0,245.0,0,4,23
5,1,14,0,153.0,0,7,23
5,3,19,0,1250.0,1,7,22
2,4,12,0,425.0,0,7,23
2,4,11,0,106.0,0,7,23
2,4,18,0,853.0,0,7,23
5,4,18,0,1744.0,0,20,16
4,5,13,1,948.0,1,18,7
4,6,13,1,2475.0,0,3,16
4,5,18,1,1272.0,0,15,8
2,3,13,0,849.0,1,18,23
2,3,21,0,804.0,1,18,7
2,4,18,0,853.0,0,3,23
7,7,8,1,667.0,1,15,23
5,6,19,1,222.0,0,0,22
7,7,22,1,1235.0,0,19,8
4,5,14,1,226.0,0,18,23
4,6,13,1,443.0,0,8,23
5,4,15,0,1189.0,0,14,23
2,1,10,0,234.0,0,9,22
2,2,17,0,891.0,0,20,12
4,1,9,0,489.0,0,8,23
5,4,8,0,396.0,0,9,8
5,7,12,1,163.0,0,12,23
4,4,9,0,299.0,0,0,22
2,5,22,1,335.0,0,3,5
4,2,8,0,481.0,0,7,23
4,3,5,0,1491.0,0,18,7
2,4,14,0,224.0,0,20,23
2,5,20,1,526.0,0,4,5
2,2,13,0,2569.0,1,12,23
5,4,21,0,888.0,0,20,22
2,6,19,1,307.0,1,18,19
4,1,11,0,707.0,0,7,23
5,1,20,0,249.0,1,18,23
2,6,16,1,67.0,1,0,22
7,4,15,0,1044.0,1,2,23
7,7,20,1,952.0,1,3,25
7,5,11,1,797.0,0,10,8
5,7,7,1,1737.0,0,10,25
2,5,19,1,771.0,1,5,23
5,1,15,0,643.0,0,17,23
2,3,20,0,1185.0,0,14,30
2,5,13,1,1340.0,0,7,23
5,3,6,0,528.0,0,7,21
4,1,13,0,122.0,0,9,22
7,2,12,0,354.0,0,9,23
2,7,9,1,337.0,0,17,16
